File Path,Duration (s)
"00400001/By Date/06/12/2023-06/18/2023/Thursday, June 15 6 - 7 pm/GX010015.MP4",704.7
"00400001/By Date/06/12/2023-06/18/2023/Thursday, June 15 6 - 7 pm/GX020015.MP4",557.49
"00400001/By Date/06/12/2023-06/18/2023/Monday, June 12 8 - 9 am/GX010013.MP4",832.83
"00400001/By Date/06/12/2023-06/18/2023/Monday, June 12 8 - 9 am/GX020013.MP4",768.77
"00400001/By Date/06/12/2023-06/18/2023/Monday, June 12 8 - 9 am/GX030013.MP4",52.25
"00400001/By Date/06/12/2023-06/18/2023/Wednesday, June 14 8 - 9 am/GX040014.MP4",768.77
"00400001/By Date/06/12/2023-06/18/2023/Wednesday, June 14 8 - 9 am/GX030014.MP4",960.96
00400001/By Date/06/26/23-07/02/23/GX020024.MP4,1025.02
00400001/By Date/06/26/23-07/02/23/GX020025.MP4,768.77
00400001/By Date/06/26/23-07/02/23/GX030025.MP4,704.7
00400001/By Date/06/26/23-07/02/23/GX030026.MP4,768.77
00400001/By Date/06/26/23-07/02/23/GX010024.MP4,832.83
00400001/By Date/06/26/23-07/02/23/GX030024.MP4,960.96
00400001/By Date/06/26/23-07/02/23/GX020024_6.30.MP4,704.7
00400001/By Date/06/26/23-07/02/23/GX040025.MP4,704.7
00400001/By Date/06/26/23-07/02/23/GX010026.MP4,960.96
00400001/By Date/06/26/23-07/02/23/GX010024_1.MP4,960.96
00400001/By Date/06/26/23-07/02/23/GX030024_1.MP4,768.77
00400001/By Date/06/26/23-07/02/23/GX020024_1.MP4,896.9
00400001/By Date/06/26/23-07/02/23/GX020026.MP4,896.9
00400001/By Date/06/26/23-07/02/23/GX050025.MP4,386.15
00400001/By Date/06/26/23-07/02/23/GX030024_6.30.MP4,452.55
00400001/By Date/06/26/23-07/02/23/GX010024_6.30.MP4,1025.02
00400001/By Date/06/26/23-07/02/23/GX010025.MP4,704.7
00400001/By Date/06/19/2023-06/25/2023/GX010020.MP4,768.77
00400001/By Date/06/19/2023-06/25/2023/GX020023.MP4,832.83
00400001/By Date/06/19/2023-06/25/2023/GX030022.MP4,896.9
00400001/By Date/06/19/2023-06/25/2023/GX040022.MP4,8.78
00400001/By Date/06/19/2023-06/25/2023/GX020020.MP4,111.38
00400001/By Date/06/19/2023-06/25/2023/GX010021.MP4,704.7
00400001/By Date/06/19/2023-06/25/2023/GX010022.MP4,896.9
00400001/By Date/06/19/2023-06/25/2023/GX030021.MP4,677.21
00400001/By Date/06/19/2023-06/25/2023/GX020021.MP4,1089.09
00400001/By Date/06/19/2023-06/25/2023/GX020022.MP4,896.9
00400001/By Date/06/19/2023-06/25/2023/GX010023.MP4,896.9
00400001/By Date/06/19/2023-06/25/2023/GX030023.MP4,666.53
00430001/GX010019.MP4,60.66
00430001/GX010020.MP4,960.96
00430001/GX010018.MP4,1025.02
00430001/GX020020.MP4,32.53
00430001/GX010021.MP4,896.9
00430001/GX030021.MP4,768.77
00430001/GX020021.MP4,832.83
00430001/GX040021.MP4,581.41
00430001/GX020018.MP4,800.23
00430001/GX020017.MP4,835.71
00430001/By Date/07/31/23-07/06/23/GX010019.MP4,60.66
00430001/By Date/07/31/23-07/06/23/GX010020.MP4,960.96
00430001/By Date/07/31/23-07/06/23/GX010018.MP4,1025.02
00430001/By Date/07/31/23-07/06/23/GX020020.MP4,32.53
00430001/By Date/07/31/23-07/06/23/GX010021.MP4,896.9
00430001/By Date/07/31/23-07/06/23/GX030021.MP4,768.77
00430001/By Date/07/31/23-07/06/23/GX020021.MP4,832.83
00430001/By Date/07/31/23-07/06/23/GX040021.MP4,581.41
00430001/By Date/07/31/23-07/06/23/GX020018.MP4,800.23
00430001/By Date/07/31/23-07/06/23/GX020017.MP4,835.71
00430001/By Date/07/03/23-07/09/23/GX010004.MP4,7.67
00430001/By Date/07/17/23-07/23/23/GX010011.MP4,1275.74
00430001/By Date/07/17/23-07/23/23/GX010012.MP4,3.4
00430001/By Date/07/17/23-07/23/23/GX010013.MP4,1153.15
00430001/By Date/07/17/23-07/23/23/GX020013.MP4,830.26
00430001/By Date/07/24/23-07/30/23/GX010017.MP4,896.9
00430001/By Date/07/24/23-07/30/23/GX010014.MP4,644.42
00430001/By Date/07/24/23-07/30/23/GX010015.MP4,5.51
00430001/By Date/07/24/23-07/30/23/GX020016.MP4,405.1
00430001/By Date/07/24/23-07/30/23/GX010016.MP4,896.9
00430001/By Date/07/10/23-07/16/23/GX020008.MP4,663.53
00430001/By Date/07/10/23-07/16/23/GX010007.MP4,5.51
00430001/By Date/07/10/23-07/16/23/GX010010.MP4,5.31
00430001/By Date/07/10/23-07/16/23/GX010005.MP4,960.96
00430001/By Date/07/10/23-07/16/23/GX010008.MP4,1025.02
00430001/By Date/07/10/23-07/16/23/GX010009.MP4,820.99
00430001/By Date/07/10/23-07/16/23/GX010006.MP4,516.99
00430001/By Date/07/10/23-07/16/23/GX020005.MP4,799.5
00430001/By Date/06/12/2023-06/18/2023/GX010002.MP4,896.9
00430001/By Date/06/12/2023-06/18/2023/GX020002.MP4,353.39
00430001/By Date/06/19/2023-06/25/2023/GX010003.MP4,354.3
00560001/GX030082.MP4,704.7
00560001/GX010082.MP4,896.9
00560001/By Date/07/31/23-07/06/23/GX010082.MP4,896.9
00560001/By Date/07/03/23-07/09/23/GX010077.MP4,896.9
00560001/By Date/07/03/23-07/09/23/GX020077.MP4,242.71
00560001/By Date/07/03/23-07/09/23/GX030076.MP4,690.43
00560001/By Date/07/17/23-07/23/23/GX020078.MP4,960.96
00560001/By Date/07/17/23-07/23/23/GX010078.MP4,896.9
00560001/By Date/07/24/23-07/30/23/GX030078.MP4,514.37
00560001/By Date/07/24/23-07/30/23/GX010079.MP4,282.5
00560001/By Date/07/10/23-07/16/23/GX020078.MP4,832.83
00560001/By Date/07/10/23-07/16/23/GX010078.MP4,768.77
00560001/By Date/06/26/23-07/02/23/GX020076.MP4,768.77
00560001/By Date/06/26/23-07/02/23/GX010076.MP4,768.77
00560001/By Date/06/05/23-06/11/23/GX020074.MP4,896.9
00560001/By Date/06/05/23-06/11/23/GX010074.MP4,960.96
00560001/By Date/06/19/23-06/25/23/GX020075.MP4,608.17
00560001/By Date/06/19/23-06/25/23/GX030074.MP4,530.47
00560001/By Date/06/19/23-06/25/23/GX010075.MP4,704.7
00560001/By Date/05/01/23-05/07/23/GX010060.MP4,305.05
00560001/By Date/05/01/23-05/07/23/GX020063.MP4,1025.02
00560001/By Date/05/01/23-05/07/23/GX030062.MP4,815.98
00560001/By Date/05/01/23-05/07/23/GX020049.MP4,456.19
00560001/By Date/05/01/23-05/07/23/GX010062.MP4,832.83
